Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
36,"N Bach, M Eck, P Charoenpornsawat…","The CMU TransTac 2007 eyes-free and hands-free two-way speech-to-speech translation system",2007,"… of the IWSLT","isl.anthropomatik.kit.edu","http://isl.anthropomatik.kit.edu/pdf/Bach2007.pdf","https://scholar.google.com/scholar?cites=18431046142730759870&as_sdt=2005&sciodt=0,5&hl=en",98,"2020-11-06 21:29:44","PDF","","","",,,,,36,2.77,9,4,13,"The paper describes our portable two-way speech-tospeech translation system using a completely eyesfree/hands-free user interface. This system translates between the language pair English and Iraqi Arabic as well as between English and Farsi, and was built within the …"
40,"M Wand, M Janke, T Schultz","Tackling speaking mode varieties in EMG-based speech recognition",2014,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6802380/?casa_token=Q6jmWHC5KKoAAAAA:vJDnGq7tTm5wDrefn_Ma-938svhShACb_S-czA9YDtfZeSyqRk5QD7IAG07qxeYXw9PkLw1vwg","https://scholar.google.com/scholar?cites=399554748112941869&as_sdt=2005&sciodt=0,5&hl=en",99,"2020-11-06 21:29:44","","","","",,,,,40,6.67,13,3,6,"An electromyographic (EMG) silent speech recognizer is a system that recognizes speech by capturing the electric potentials of the human articulatory muscles, thus enabling the user to communicate silently. After having established a baseline EMG-based continuous speech …"
35,"D Kiecza, T Schultz, A Waibel","Data-driven determination of appropriate dictionary units for Korean LVCSR",1999,"Proceedings of ICASSP","Citeseer","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.43.1815&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=1047682752705023725&as_sdt=2005&sciodt=0,5&hl=en",100,"2020-11-06 21:29:44","PDF","","","",,,,,35,1.67,12,3,21,"This paper describes the design of our Korean large vocabulary speech recognition system using the multilingual dictation database GlobalPhone. Defining appropriate dictionary units for this purpose is not a trivial task since using word phrases (eojeols) gives very high OOV …"
36,"A Waibel, H Yu, T Schultz, Y Pan, M Bett…","Advances in meeting recognition",2001,"Proceedings of the first …","aclweb.org","https://www.aclweb.org/anthology/H01-1003.pdf","https://scholar.google.com/scholar?cites=2470928353701384893&as_sdt=2005&sciodt=0,5&hl=en",101,"2020-11-06 21:29:44","PDF","","","",,,,,36,1.89,6,6,19,"Speech recognition has advanced considerably, but has been limited almost entirely either to situations in which close speaking microphones are natural and acceptable (telephone, dictation, command&control, etc.) or in which high-quality recordings are ensured …"
34,"D Dahlmeier, HT Ng, T Schultz","Joint learning of preposition senses and semantic roles of prepositional phrases",2009,"Proceedings of the 2009 Conference on …","aclweb.org","https://www.aclweb.org/anthology/D09-1047.pdf","https://scholar.google.com/scholar?cites=16268700575362411457&as_sdt=2005&sciodt=0,5&hl=en",102,"2020-11-06 21:29:44","PDF","","","",,,,,34,3.09,11,3,11,"The sense of a preposition is related to the semantics of its dominating prepositional phrase. Knowing the sense of a preposition could help to correctly classify the semantic role of the dominating prepositional phrase and vice versa. In this paper, we propose a joint …"
34,"T Schultz, I Rogina","Acoustic and language modeling of human and nonhuman noises for human-to-human spontaneous speech recognition",1995,"1995 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/479531/?casa_token=_X_RAi04tfoAAAAA:3ibTNYikBdh-8DULb24dpJgG_-kcInArKMSJznBsVUMfY_NgFZfl5AUnllTXBmVQHB24yQGlLQ","https://scholar.google.com/scholar?cites=12363991274027707792&as_sdt=2005&sciodt=0,5&hl=en",103,"2020-11-06 21:29:44","","","","",,,,,34,1.36,17,2,25,"Several improvements of our speech-to-speech translation system JANUS on spontaneous human-to-human dialogs are presented. Common phenomena in spontaneous speech are described, followed by a classification of different types of noise. To handle the variety of …"
35,"D Gehrig, P Krauthausen, L Rybok…","Combined intention, activity, and motion recognition for a humanoid household robot",2011,"2011 IEEE/RSJ …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6095118/?casa_token=sTfRhU7CnvkAAAAA:VtHdfBMVC7jTLbIwTomQ1oVsck7bB9Z5L7hVDMIQySzomfU2HYcExoC790MYxiIqmpa6X8OVOA","https://scholar.google.com/scholar?cites=542183599964139059&as_sdt=2005&sciodt=0,5&hl=en",104,"2020-11-06 21:29:44","","","","",,,,,35,3.89,9,4,9,"In this paper, a multi-level approach to intention, activity, and motion recognition for a humanoid robot is proposed. Our system processes images from a monocular camera and combines this information with domain knowledge. The recognition works on-line and in real …"
35,"M Walliczek, F Kraft, SC Jou, T Schultz…","Sub-word unit based non-audible speech recognition using surface electromyography",2006,"… Conference on Spoken …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2006/i06_1596.html","https://scholar.google.com/scholar?cites=12687661583574271609&as_sdt=2005&sciodt=0,5&hl=en",105,"2020-11-06 21:29:44","","","","",,,,,35,2.50,7,5,14,"In this paper we present a novel approach for a surface electromyographic speech recognition system based on sub-word units. Rather than using full word models as integrated in our previous work we propose here smaller sub-word units as prerequisites for …"
34,"NT Vu, W Breiter, F Metze, T Schultz","An investigation on initialization schemes for multilayer perceptron training using multilingual data and their effect on ASR performance",2012,"","kilthub.cmu.edu","https://kilthub.cmu.edu/articles/An_Investigation_on_Initialization_Schemes_for_Multilayer_Perceptron_Training_Using_Multilingual_Data_and_Their_Effect_on_ASR_Performance/6473039/1","https://scholar.google.com/scholar?cites=3058672126659846510&as_sdt=2005&sciodt=0,5&hl=en",106,"2020-11-06 21:29:44","","","","",,,,,34,4.25,9,4,8,"In this paper we present our latest investigation on initialization schemes for Multilayer Perceptron (MLP) training using multilingual data. We show that the overall performance of an MLP network improves significantly by initializing it with a multilingual MLP. We propose …"
33,"K Laskowski, T Schultz","Unsupervised learning of overlapped speech model parameters for multichannel speech activity detection in meetings",2006,"2006 IEEE International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1660190/?casa_token=Y4nbmmh0HJ8AAAAA:-H3T6Rsrv11Nk2zmIIjW7VEM5rZbUiO66BCyE3WiOAEY0UqPbBCAXFL20Zo5Wi3x6t2udQzFww","https://scholar.google.com/scholar?cites=4343688838856095629&as_sdt=2005&sciodt=0,5&hl=en",107,"2020-11-06 21:29:44","","","","",,,,,33,2.36,17,2,14,"The study of meetings, and multi-party conversation in general, is currently the focus of much attention, calling for more robust and more accurate speech activity detection systems. We present a novel multichannel speech activity detection algorithm, which explicitly models the …"
35,"T Schlippe, S Ochs, T Schultz","Wiktionary as a source for automatic pronunciation extraction",2010,"Eleventh Annual Conference of the …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2010/i10_2290.html","https://scholar.google.com/scholar?cites=7628048505520890401&as_sdt=2005&sciodt=0,5&hl=en",108,"2020-11-06 21:29:44","","","","",,,,,35,3.50,12,3,10,"In this paper, we analyze whether dictionaries from the World Wide Web which contain phonetic notations, may support the rapid creation of pronunciation dictionaries within the speech recognition and speech synthesis system building process. As a representative …"
34,"C Fugen, S Stuker, H Soltau, F Metze…","Efficient handling of multilingual language models",2003,"2003 IEEE Workshop …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1318481/?casa_token=qacVtd2EzEcAAAAA:U4IuSP9fZPBI9KAaWwh0yKqG1BD1K2z3qpYgm-ERJPJUsX02mGxdJVyH_SwUYRfAvH5Aa-n3Zw","https://scholar.google.com/scholar?cites=3193624549598472089&as_sdt=2005&sciodt=0,5&hl=en",109,"2020-11-06 21:29:44","","","","",,,,,34,2.00,7,5,17,"We introduce techniques for building a multilingual speech recognizer. More specifically, we present a new language model method that allows for the combination of several monolingual into one multilingual language model. Furthermore, we extend our techniques …"
33,"S Suebvisai, P Charoenpornsawat…","Thai automatic speech recognition",2005,"… .(ICASSP'05). IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1415249/?casa_token=OXzbO9GWTnsAAAAA:JhWjloh4lGwMiX0CRkyrPGmsQsWliAdPcmBAKxXiOzR8x3_HJpfIjL5RlsWGXB15ude9BpWBRA","https://scholar.google.com/scholar?cites=14322357806600716863&as_sdt=2005&sciodt=0,5&hl=en",110,"2020-11-06 21:29:44","","","","",,,,,33,2.20,11,3,15,"We describe the development of a robust and flexible Thai speech recognizer as integrated into our English-Thai speech-to-speech translation system. We focus on the discussion of the rapid deployment of ASR for Thai under limited time and data resources, including rapid …"
33,"NT Vu, F Kraus, T Schultz","Multilingual A-stabil: A new confidence score for multilingual unsupervised training",2010,"2010 IEEE Spoken Language …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5700848/?casa_token=jmov5LMJBiQAAAAA:Cx7-30JeitCKOb2SA8EayZlylSe4UWQsr8-xLrs3RdkGc5XqujccCWZDIE7DvZV3ohOD0UHXIA","https://scholar.google.com/scholar?cites=3628143777066900115&as_sdt=2005&sciodt=0,5&hl=en",111,"2020-11-06 21:29:44","","","","",,,,,33,3.30,11,3,10,"This paper presents our work in Automatic Speech Recognition (ASR) in the context of multilingual unsupervised training with application to Czech. Starting without any transcribed acoustic training data we built a Czech ASR by combining cross-language bootstrapping …"
32,"VB Le, L Besacier, T Schultz","Acoustic-phonetic unit similarities for context dependent acoustic model portability",2006,"2006 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1660217/?casa_token=PekLnDKBevYAAAAA:hPvdSSOheDBM1OfAiv-U4DjvH43wsQ1K7TbC5jWE0OZT-3JdHbSeBsE1XuVzD1oPnfRrVwKEnw","https://scholar.google.com/scholar?cites=9468583261263962152&as_sdt=2005&sciodt=0,5&hl=en",112,"2020-11-06 21:29:44","","","","",,,,,32,2.29,11,3,14,"This paper addresses particularly the use of acoustic-phonetic unit similarities for portability of context dependent acoustic models to new languages. Since the IPA-based method is limited to a source/target phoneme mapping table construction, an estimation method of the …"
32,"K Laskowski, T Schultz","Detection of laughter-in-interaction in multichannel close-talk microphone recordings of meetings",2008,"International Workshop on Machine Learning for …","Springer","https://link.springer.com/chapter/10.1007/978-3-540-85853-9_14","https://scholar.google.com/scholar?cites=12662307182309115383&as_sdt=2005&sciodt=0,5&hl=en",113,"2020-11-06 21:29:44","","","","",,,,,32,2.67,16,2,12,"Laughter is a key element of human-human interaction, occurring surprisingly frequently in multi-party conversation. In meetings, laughter accounts for almost 10% of vocalization effort by time, and is known to be relevant for topic segmentation and the automatic …"
31,"AR Toth, M Wand, T Schultz","Synthesizing speech from electromyography using voice transformation techniques",2009,"Tenth Annual Conference of the …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2009/i09_0652.html","https://scholar.google.com/scholar?cites=14494004543613947243&as_sdt=2005&sciodt=0,5&hl=en",114,"2020-11-06 21:29:44","","","","",,,,,31,2.82,10,3,11,"Surface electromyography (EMG) can be used to record the activation potentials of articulatory muscles while a person speaks. This technique could enable silent speech interfaces, as EMG signals are generated even when people pantomime speech without …"
30,"K Nakamura, M Janke, M Wand…","Estimation of fundamental frequency from surface electromyographic data: EMG-to-F0",2011,"2011 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5946468/?casa_token=BQ0ZeH0e8KEAAAAA:OTKnTGco4GyBuzXkyP5pcvrmmUgeIM9S57Gjp2LR_XLdMXPwc_mXLi_7a2sdsJnKMEpFy1TNqA","https://scholar.google.com/scholar?cites=15328355793163871532&as_sdt=2005&sciodt=0,5&hl=en",115,"2020-11-06 21:29:44","","","","",,,,,30,3.33,8,4,9,"In this paper, we present our recent studies of F 0 estimation from the surface electromyographic (EMG) data us ing a Gaussian mixture model (GMM)-based voice con version (VC) technique, referred to as EMG-to-F 0. In our approach, a support vector …"
30,"Q Jin, T Schultz, A Waibel","Phonetic speaker identification",2002,"Seventh International Conference on …","isca-speech.org","https://www.isca-speech.org/archive/icslp_2002/i02_1345.html","https://scholar.google.com/scholar?cites=3198774752780326314&as_sdt=2005&sciodt=0,5&hl=en",116,"2020-11-06 21:29:44","","","","",,,,,30,1.67,10,3,18,"This paper describes the exploration of text-independent speaker identification using novel approaches based on speakers' phonetic features instead of traditional acoustic features. Different phonetic speaker identification approaches are discussed in this paper and …"
30,"M Wand, T Schultz","Towards Speaker-adaptive Speech Recognition based on Surface Electromyography.",2009,"Biosignals","researchgate.net","https://www.researchgate.net/profile/Tanja_Schultz/publication/221333944_Towards_Speaker-adaptive_Speech_Recognition_based_on_Surface_Electromyography/links/547836780cf293e2da286147/Towards-Speaker-adaptive-Speech-Recognition-based-on-Surface-Electromyography.pdf","https://scholar.google.com/scholar?cites=5543332975650804143&as_sdt=2005&sciodt=0,5&hl=en",117,"2020-11-06 21:29:44","PDF","","","",,,,,30,2.73,15,2,11,"We present our recent advances in silent speech interfaces using electromyographic signals that capture the movements of the human articulatory muscles at the skin surface for recognizing continuously spoken speech. Previous systems were limited to speaker-and …"
30,"YC Tam, I Lane, T Schultz","Bilingual-LSA based LM adaptation for spoken language translation",2007,"Proceedings of the 45th Annual Meeting of …","aclweb.org","https://www.aclweb.org/anthology/P07-1066.pdf","https://scholar.google.com/scholar?cites=8688368713783050947&as_sdt=2005&sciodt=0,5&hl=en",118,"2020-11-06 21:29:44","PDF","","","",,,,,30,2.31,10,3,13,"We propose a novel approach to crosslingual language model (LM) adaptation based on bilingual Latent Semantic Analysis (bLSA). A bLSA model is introduced which enables latent topic distributions to be efficiently transferred across languages by enforcing a one-to-one …"
22,"J Weiner, M Engelbart, T Schultz","Manual and Automatic Transcriptions in Dementia Detection from Speech.",2017,"INTERSPEECH","isca-speech.org","https://www.isca-speech.org/archive/Interspeech_2017/pdfs/0112.PDF","https://scholar.google.com/scholar?cites=6426090556107777586&as_sdt=2005&sciodt=0,5&hl=en",119,"2020-11-06 21:29:44","","","","",,,,,22,7.33,7,3,3,"As the population in developed countries is aging, larger numbers of people are at risk of developing dementia. In the near future there will be a need for time-and cost-efficient screening methods. Speech can be recorded and analyzed in this manner, and as speech …"
33,"H Adel, K Kirchhoff, D Telaar, NT Vu…","Features for factored language models for code-switching speech",2014,"… for Under-Resourced …","isca-speech.org","https://www.isca-speech.org/archive/sltu_2014/sl14_032.html","https://scholar.google.com/scholar?cites=2582922842527412686&as_sdt=2005&sciodt=0,5&hl=en",120,"2020-11-06 21:29:44","","","","",,,,,33,5.50,7,5,6,"This paper presents investigations of features which can be used to predict Code-Switching speech. For this task, factored language models are applied and implemented into a state-of-the-art decoder. Different possible factors, such as words, part-of-speech tags, Brown word …"
37,"Q Jin, AR Toth, T Schultz…","Speaker de-identification via voice transformation",2009,"2009 IEEE Workshop on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5373356/?casa_token=7XYUWJ0lSLgAAAAA:bd2y58_CT_tG_3DzCutEJ-tuLlCLtGsdLECQ5YkQiu3cQCy6r1eiuALmXpAMg1gm5CYK0_yWeA","https://scholar.google.com/scholar?cites=7393610183660428242&as_sdt=2005&sciodt=0,5&hl=en",121,"2020-11-06 21:29:44","","","","",,,,,37,3.36,9,4,11,"It is a common feature of modern automated voice-driven applications and services to record and transmit a user's spoken request. At the same time, several domains and applications may require keeping the content of the user's request confidential and at the same time …"
28,"M Paulik, S Rao, I Lane, S Vogel…","Sentence segmentation and punctuation recovery for spoken language translation",2008,"2008 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4518807/?casa_token=OCsL8Rh1WRsAAAAA:-VYKXFLqZrtmIJsKGcTEVSIdvXA-qm0TCOxMpdBzyL6X0nUxDUhOyT2Oc9vmcF3kE4qlQamXjg","https://scholar.google.com/scholar?cites=10094589970582635567&as_sdt=2005&sciodt=0,5&hl=en",122,"2020-11-06 21:29:44","","","","",,,,,28,2.33,6,5,12,"Sentence segmentation and punctuation recovery are critical components for effective spoken language translation (SLT). In this paper we describe our recent work on sentence segmentation and punctuation recovery for three different language pairs, namely for …"
29,"Q Yang, Q Jin, T Schultz","Investigation of cross-show speaker diarization",2011,"Twelfth Annual Conference of the …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2011/i11_2925.html","https://scholar.google.com/scholar?cites=5245052428183181465&as_sdt=2005&sciodt=0,5&hl=en",123,"2020-11-06 21:29:44","","","","",,,,,29,3.22,10,3,9,"The goal of cross-show diarization is to index speech segments of speakers from a set of shows, with the particular challenge that reappearing speakers across shows have to be labeled with the same speaker identity. In this paper, we introduce three cross-show …"
27,"P Charoenpornsawat, S Hewavitharana…","Thai grapheme-based speech recognition",2006,"Proceedings of the …","aclweb.org","https://www.aclweb.org/anthology/N06-2005.pdf","https://scholar.google.com/scholar?cites=2893382698734358186&as_sdt=2005&sciodt=0,5&hl=en",124,"2020-11-06 21:29:44","PDF","","","",,,,,27,1.93,9,3,14,"In this paper we present the results for building a grapheme-based speech recognition system for Thai. We experiment with different settings for the initial context independent system, different number of acoustic models and different contexts for the speech unit. In …"
29,"Q Jin, T Schultz, A Waibel","Speaker identification using multilingual phone strings",2002,"2002 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5743675/?casa_token=06jxEhvdq88AAAAA:z-h92kvjV8ocO89GA-RjcvChkLbRMs8Lxd_E2EfKeiFgCHq-1s3XdXCQ6a4EPnf6_QstZRHSrw","https://scholar.google.com/scholar?cites=6140653713312845836&as_sdt=2005&sciodt=0,5&hl=en",125,"2020-11-06 21:29:44","","","","",,,,,29,1.61,10,3,18,"Far-field speaker identification is very challenging since varying recording conditions often result in un-matching training and testing situations. Although the widely used Gaussian Mixture Models (GMM) approach achieves reasonable good results when training and …"
28,"F Stahlberg, T Schlippe, S Vogel…","Word segmentation through cross-lingual word-to-phoneme alignment",2012,"2012 IEEE Spoken …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6424202/?casa_token=mlq0h9pWuLQAAAAA:NU1igAqYwmfcldzChW38qk_crDPRL-hK9gCfXHY1jbS6kA01xzULwlnVewzAdpbBcql0nYdqeg","https://scholar.google.com/scholar?cites=12108675723852554029&as_sdt=2005&sciodt=0,5&hl=en",126,"2020-11-06 21:29:44","","","","",,,,,28,3.50,7,4,8,"We present our new alignment model Model 3P for cross-lingual word-to-phoneme alignment, and show that unsupervised learning of word segmentation is more accurate when information of another language is used. Word segmentation with cross-lingual …"
26,"C Herff, G Johnson, L Diener, J Shih…","Towards direct speech synthesis from ECoG: A pilot study",2016,"2016 38th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7591004/?casa_token=LoXnI0YBEN8AAAAA:9bb1_PYgiypfVUSpp0sSvZyqEVqmUox1uzSr6MKLGpCnLdOaGLjT67SRaMCB4wTcd0lKIrnG9A","https://scholar.google.com/scholar?cites=2771499252263966016&as_sdt=2005&sciodt=0,5&hl=en",127,"2020-11-06 21:29:44","","","","",,,,,26,6.50,5,5,4,"Most current Brain-Computer Interfaces (BCIs) achieve high information transfer rates using spelling paradigms based on stimulus-evoked potentials. Despite the success of this interfaces, this mode of communication can be cumbersome and unnatural. Direct synthesis …"
30,"NT Vu, T Schultz","Multilingual multilayer perceptron for rapid language adaptation between and across language families.",2013,"Interspeech","isca-speech.org","https://www.isca-speech.org/archive/archive_papers/interspeech_2013/i13_0515.pdf","https://scholar.google.com/scholar?cites=1621148971424594501&as_sdt=2005&sciodt=0,5&hl=en",128,"2020-11-06 21:29:44","","","","",,,,,30,4.29,15,2,7,"In this paper, we present our latest investigations of multilingual Multilayer Perceptrons (MLPs) for rapid language adaptation between and across language families. We explore the impact of the amount of languages and data used for the multilingual MLP training …"
26,"A Lavie, F Metze, R Cattoni, E Costantini, S Burger…","A multi-perspective evaluation of the NESPOLE! speech-to-speech translation system",2002,"","hal.inria.fr","https://hal.inria.fr/inria-00326403/","https://scholar.google.com/scholar?cites=11602361925082254113&as_sdt=2005&sciodt=0,5&hl=en",129,"2020-11-06 21:29:44","","","","",,,,,26,1.44,4,6,18,"Performance and usability of realworld speech-to-speech translation systems, like the one developed within the NESPOLE! project, are affected by several aspects that go beyong the pure translation quality provided by the underlying components of the system. In this paper …"
26,"SCS Jou, T Schultz, A Waibel","Continuous electromyographic speech recognition with a multi-stream decoding architecture",2007,"2007 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4218122/?casa_token=tgwq6cllw8IAAAAA:GTiKfabPTCRkPG73USoo3rfe2nHHlB-x6xri-uh12Q219xP9lDZDnNtwUe_FUI1JiskUkTQwdQ","https://scholar.google.com/scholar?cites=11720137797052343446&as_sdt=2005&sciodt=0,5&hl=en",130,"2020-11-06 21:29:44","","","","",,,,,26,2.00,9,3,13,"In our previous work, we reported a surface electromyographic (EMG) continuous speech recognition system with a novel EMG feature extraction method, E4, which is more robust to EMG noise than traditional spectral features. In this paper, we show that articulatory feature …"
30,"L Diener, M Janke, T Schultz","Direct conversion from facial myoelectric signals to speech using deep neural networks",2015,"2015 International Joint …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7280404/?casa_token=S1VduH4i_PMAAAAA:u-qzlk_kGZM03vuFkFqBGtg2EfVdC_iTt7B_tjoFR2YcF9lalvafASI8tgeXvcEGk2d5tzr-eQ","https://scholar.google.com/scholar?cites=4816402021850376158&as_sdt=2005&sciodt=0,5&hl=en",131,"2020-11-06 21:29:44","","","","",,,,,30,6.00,10,3,5,"This paper presents our first results using Deep Neural Networks for surface electromyographic (EMG) speech synthesis. The proposed approach enables a direct mapping from EMG signals captured from the articulatory muscle movements to the acoustic …"
25,"M Janke, M Wand, T Schultz","A Spectral Mapping Method for EMG-based Recognition of Silent Speech.",2010,"B-Interface","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/a49d/e9c32bb52e66578a5c3ca2f9b9e1ca63ca43.pdf","https://scholar.google.com/scholar?cites=13473372022891998684&as_sdt=2005&sciodt=0,5&hl=en",132,"2020-11-06 21:29:44","PDF","","","",,,,,25,2.50,8,3,10,"This paper reports on our latest study on speech recognition based on surface electromyography (EMG). This technology allows for Silent Speech Interfaces since EMG captures the electrical potentials of the human articulatory muscles rather than the acoustic …"
26,"Z Wang, T Schultz","Non-native spontaneous speech recognition through polyphone decision tree specialization",2003,"Eighth European Conference on Speech …","isca-speech.org","https://www.isca-speech.org/archive/eurospeech_2003/e03_1449.html","https://scholar.google.com/scholar?cites=7516810003296968769&as_sdt=2005&sciodt=0,5&hl=en",133,"2020-11-06 21:29:44","","","","",,,,,26,1.53,13,2,17,"With more and more non-native speakers speaking in English, the fast and efficient adaptation to non-native English speech becomes a practical concern. The performance of speech recognition systems is consistently poor on non-native speech. The challenge for …"
27,"D Heger, R Mutter, C Herff, F Putze…","Continuous recognition of affective states by functional near infrared spectroscopy signals",2013,"… Conference on Affective …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6681548/?casa_token=D1E0o6psQuIAAAAA:20Ezmnn83hCZZ9ktSmdfDmQT6bF_RAyg05UyRT6V3wahQ8FnWskXp9yA9VMctZx0nYW-4o63xw","https://scholar.google.com/scholar?cites=7755149210429184873&as_sdt=2005&sciodt=0,5&hl=en",134,"2020-11-06 21:29:44","","","","",,,,,27,3.86,5,5,7,"Functional near infrared spectroscopy (fNIRS) is becoming more and more popular as an innovative imaging modality for brain computer interfaces. A continuous (ie asynchronous) affective state monitoring system using fNIRS signals would be highly relevant for numerous …"
25,"M Janke, M Wand, T Schultz","Impact of lack of acoustic feedback in EMG-based silent speech recognition",2010,"Eleventh Annual Conference of the …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2010/i10_2686.html","https://scholar.google.com/scholar?cites=206343125368698352&as_sdt=2005&sciodt=0,5&hl=en",135,"2020-11-06 21:29:44","","","","",,,,,25,2.50,8,3,10,"This paper presents our recent advances in speech recognition based on surface electromyography (EMG). This technology allows for Silent Speech Interfaces since EMG captures the electrical potentials of the human articulatory muscles rather than the acoustic …"
1,"C Botelho, L Diener, D Küster, K Scheck, S Amiriparian…","Toward silent paralinguistics: Speech-to-emg–retrieving articulatory muscle activity from speech",2020,"Small","csl.uni-bremen.de","https://www.csl.uni-bremen.de/cms/images/documents/publications/Interspeech2020_emg_to_speech_revised.pdf","https://scholar.google.com/scholar?cites=5597209961008091754&as_sdt=2005&sciodt=0,5&hl=en",136,"2020-11-06 21:29:44","PDF","","","",,,,,1,1.00,0,6,1,"Electromyographic (EMG) signals recorded during speech production encode information on articulatory muscle activity and also on the facial expression of emotion, thus representing a speech-related biosignal with strong potential for paralinguistic applications …"
24,"Q Jin, Y Pan, T Schultz","Far-field speaker recognition",2006,"2006 IEEE International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1660176/?casa_token=WrjjF8aYM1QAAAAA:wHu82fdqzjUb-Num80vu0CYJevzvbovyhqgZvGniT_nt5zMnT29yrt2lWCSeg08t081gQIkJzg","https://scholar.google.com/scholar?cites=1310608884935522089&as_sdt=2005&sciodt=0,5&hl=en",137,"2020-11-06 21:29:44","","","","",,,,,24,1.71,8,3,14,"In this paper we study robust speaker recognition in far-field microphone situations such as meeting scenarios. By applying reverberation compensation and feature warping we achieved significant improvements under mismatched training-testing conditions. To capture …"
24,"A Lavie, F Metze, F Pianesi, S Burger, D Gates, L Levin…","Enhancing the Usability and Performance of NESPOLE!-a Real-World Speech-to-Speech Translation System",2002,"","hal.inria.fr","https://hal.inria.fr/inria-00326412/","https://scholar.google.com/scholar?cites=10455995160624229893&as_sdt=2005&sciodt=0,5&hl=en",138,"2020-11-06 21:29:44","","","","",,,,,24,1.33,3,7,18,"Over the past year, we have developed a fully functional showcase of the NESPOLE! system within the domain of travel and tourism, and have significantly improved system performance and usability based on a series of studies and evaluations wih real users. Our experience …"
26,"H Adel, K Kirchhoff, NT Vu, D Telaar…","Comparing approaches to convert recurrent neural networks into backoff language models for efficient decoding",2014,"… Annual Conference of …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2014/i14_0651.html","https://scholar.google.com/scholar?cites=9205282701243617184&as_sdt=2005&sciodt=0,5&hl=en",139,"2020-11-06 21:29:44","","","","",,,,,26,4.33,5,5,6,"In this paper, we investigate and compare three different possibilities to convert recurrent neural network language models (RNNLMs) into backoff language models (BNLM). While RNNLMs often outperform traditional n-gram approaches in the task of language modeling …"
25,"D Telaar, M Wand, D Gehrig, F Putze…","BioKIT—real-time decoder for biosignal processing",2014,"… Annual Conference of …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2014/i14_2650.html","https://scholar.google.com/scholar?cites=3139202818286512636&as_sdt=2005&sciodt=0,5&hl=en",140,"2020-11-06 21:29:44","","","","",,,,,25,4.17,5,5,6,"We introduce BioKIT, a new Hidden Markov Model based toolkit to preprocess, model and interpret biosignals such as speech, motion, muscle and brain activities. The focus of this toolkit is to enable researchers from various communities to pursue their experiments and …"
23,"S Rao, I Lane, T Schultz","Optimizing sentence segmentation for spoken language translation",2007,"Eighth Annual Conference of the …","isca-speech.org","https://www.isca-speech.org/archive/interspeech_2007/i07_2845.html","https://scholar.google.com/scholar?cites=584104365405498093&as_sdt=2005&sciodt=0,5&hl=en",141,"2020-11-06 21:29:44","","","","",,,,,23,1.77,8,3,13,"The conventional approach in text-based machine translation (MT) is to translate complete sentences, which are conveniently indicated by sentence boundary markers. However, since such boundary markers are not available for speech, new methods are required that …"
